Player,Nation,Pos,Squad,Comp,Age,MP,Min,90s,minutes_per_game,utilisation_ratio,defensive_load,running_load,duel_load,workload_index,injury_risk_score,Pos_main
Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,22.0,29.0,1516.0,16.8,52.275862068965516,1.0026455026455026,2.083333333333333,289.5833333333333,0.5952380952380952,116.78571428571428,68.01360978618777,MF
Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,33.0,28.0,2490.0,27.7,88.92857142857143,0.9987966305655837,1.552346570397112,264.8375451263538,0.6498194945848376,106.68592057761734,105.28899588264368,DF
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27.0,27.0,2271.0,25.2,84.11111111111111,1.0013227513227514,1.4682539682539684,238.76984126984127,0.4761904761904762,96.19047619047619,90.01544220797601,DF
Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,30.0,22.0,1725.0,19.2,78.4090909090909,0.9982638888888888,2.135416666666667,232.91666666666669,0.9375,94.20833333333336,81.93294983252667,DF
Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33.0,31.0,2647.0,29.4,85.38709677419355,1.0003779289493575,2.3469387755102042,220.4421768707483,1.054421768707483,89.32653061224491,84.78017448756502,DF
Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,27.0,23.0,1215.0,13.5,52.82608695652174,1.0,4.074074074074074,218.59259259259258,0.9629629629629629,89.25925925925927,52.39130434782609,MF
Jan Paul van Hecke,nl NED,DF,Brighton,eng Premier League,24.0,34.0,2958.0,32.9,87.0,0.9989868287740629,2.0972644376899696,218.57142857142858,0.7598784194528876,88.41945288753801,85.38553988065728,DF
Dayot Upamecano,fr FRA,DF,Bayern Munich,de Bundesliga,25.0,20.0,1759.0,19.5,87.95,1.0022792022792022,3.58974358974359,213.5897435897436,1.0256410256410255,87.07692307692308,85.28744958238974,DF
Jack Grealish,eng ENG,"FW,MF",Manchester City,eng Premier League,28.0,20.0,721.0,8.0,36.05,1.0013888888888889,1.375,214.25,0.625,86.375,34.64603886959876,MF
Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,27.0,26.0,1143.0,12.7,43.96153846153846,1.0,2.440944881889764,207.08661417322836,1.1023622047244095,84.03149606299215,41.04615384615386,MF
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25.0,12.0,754.0,8.4,62.833333333333336,0.9973544973544973,2.5,206.07142857142856,1.0714285714285714,83.64285714285714,58.240621413174324,DF
Riccardo Sottil,it ITA,"FW,MF",Fiorentina,it Serie A,25.0,18.0,833.0,9.3,46.27777777777778,0.9952210274790919,0.9677419354838709,200.86021505376343,0.7526881720430108,80.88172043010753,41.39042738434361,MF
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29.0,10.0,678.0,7.5,67.8,1.0044444444444445,1.6,200.13333333333333,0.26666666666666666,80.74666666666667,61.099507358024695,DF
Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,25.0,27.0,2273.0,25.3,84.18518518518519,0.9982433025911287,3.6363636363636362,194.3083003952569,1.1067193675889329,79.399209486166,74.13883302290245,DF
Pierre Kalulu,fr FRA,DF,Juventus,it Serie A,24.0,29.0,2337.0,26.0,80.58620689655173,0.9987179487179487,2.230769230769231,195.73076923076923,1.0,79.3846153846154,70.99003740733185,DF
Alessandro Bastoni,it ITA,DF,Inter,it Serie A,25.0,32.0,2333.0,25.9,72.90625,1.0008580008580008,2.586872586872587,192.85714285714286,1.6602316602316602,78.50965250965253,63.65283796275592,DF
Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28.0,21.0,1760.0,19.6,83.80952380952381,0.9977324263038547,2.193877551020408,193.77551020408163,0.5612244897959183,78.5,72.93476826356644,DF
John Stones,eng ENG,"DF,MF",Manchester City,eng Premier League,30.0,11.0,548.0,6.1,49.81818181818182,0.9981785063752276,1.639344262295082,193.9344262295082,0.3278688524590164,78.29508196721314,43.26015398995782,DF
Ladislav Krejčí,cz CZE,DF,Girona,es La Liga,25.0,28.0,2440.0,27.1,87.14285714285714,1.000410004100041,2.103321033210332,189.2619926199262,0.8856088560885609,76.72324723247232,74.31804680607574,DF
Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29.0,26.0,2014.0,22.4,77.46153846153847,0.9990079365079366,1.25,189.01785714285717,0.7589285714285715,76.25892857142858,65.56970751842407,DF
